title,year,venue,doi,url,source,query,score
Tactile sensing for dexterous in-hand manipulation in robotics—A review,2011,Sensors and Actuators A: Physical,10.1016/j.sna.2011.02.038,https://doi.org/10.1016/j.sna.2011.02.038,crossref,in-hand manipulation tactile sensing contact,0.833
Finger contact sensing and the application in dexterous hand manipulation,2015,Autonomous Robots,10.1007/s10514-015-9425-4,https://doi.org/10.1007/s10514-015-9425-4,crossref,in-hand manipulation tactile sensing contact,0.833
Precise In-Hand Manipulation of Soft Objects using Soft Fingertips with Tactile Sensing and Active Deformation,2020,2020 3rd IEEE International Conference on Soft Robotics (RoboSoft),10.1109/robosoft48309.2020.9115997,https://doi.org/10.1109/robosoft48309.2020.9115997,crossref,in-hand manipulation tactile sensing contact,0.833
A Novel Contact State Estimation Method for Robot Manipulation Skill Learning via Environment Dynamics and Constraints Modeling,2022,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2021.3139096,https://doi.org/10.1109/tase.2021.3139096,crossref,tactile state estimation robot contact dynamics,0.833
Center of Mass Dynamics and Contact-Aided Invariant Filtering for Biped Robot State Estimation,2023,IEEE Sensors Journal,10.1109/jsen.2023.3317286,https://doi.org/10.1109/jsen.2023.3317286,crossref,tactile state estimation robot contact dynamics,0.833
In-Hand Manipulation of Unknown Objects with Tactile Sensing for Insertion,2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10341456,https://doi.org/10.1109/iros55552.2023.10341456,crossref,in-hand manipulation tactile sensing contact,0.833
Exploring Deep Object Content through In-hand Tactile Vibration Sensing with Shaking Manipulation,2024,2024 7th International Conference on Information and Communications Technology (ICOIACT),10.1109/icoiact64819.2024.10913259,https://doi.org/10.1109/icoiact64819.2024.10913259,crossref,in-hand manipulation tactile sensing contact,0.833
DIH-Tele: Dexterous In-Hand Teleoperation Framework for Learning Multiobjects Manipulation With Tactile Sensing,2025,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2025.3532653,https://doi.org/10.1109/tmech.2025.3532653,crossref,in-hand manipulation tactile sensing contact,0.833
"TACSEM: Tactile Sensing, 3-D State Estimation and In-Hand Manipulation of a Soft Hand",2025,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2025.3632966,https://doi.org/10.1109/tmech.2025.3632966,crossref,in-hand manipulation tactile sensing contact,0.833
Grasping force control of multi-fingered robot hand based on slip detection sing tactile sensor,2008,2008 SICE Annual Conference,10.1109/sice.2008.4654781,https://doi.org/10.1109/sice.2008.4654781,crossref,slip detection tactile manipulation robot,0.800
Grasping force control of multi-fingered robot hand based on slip detection using tactile sensor,2008,2008 IEEE International Conference on Robotics and Automation,10.1109/robot.2008.4543605,https://doi.org/10.1109/robot.2008.4543605,crossref,slip detection tactile manipulation robot,0.800
Contact State Estimation by Vision-Based Tactile Sensors for Dexterous Manipulation with Robot Hands Based on Shape-Sensing,2011,International Journal of Advanced Robotic Systems,10.5772/50899,https://doi.org/10.5772/50899,crossref,tactile contact detection robot manipulation,0.800
Whole-body contact manipulation using tactile information for the nursing-care assistant robot RIBA,2011,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2011.6048049,https://doi.org/10.1109/iros.2011.6048049,crossref,tactile contact detection robot manipulation,0.800
116 Slip detection using a hybrid tactile sensor system for a robot gripping an object,2012,The Proceedings of Conference of Tokai Branch,10.1299/jsmetokai.2012.61._116-1_,https://doi.org/10.1299/jsmetokai.2012.61._116-1_,crossref,slip detection tactile manipulation robot,0.800
Research on a detection and recognition method of tactile-slip sensation used to control the Elderly-assistant &amp;amp; Walking-assistant Robot,2012,2012 IEEE International Conference on Automation Science and Engineering (CASE),10.1109/coase.2012.6386341,https://doi.org/10.1109/coase.2012.6386341,crossref,slip detection tactile manipulation robot,0.800
Spectral Subtraction of Robot Motion Noise for Improved Event Detection in Tactile Acceleration Signals,2012,Lecture Notes in Computer Science,10.1007/978-3-642-31401-8_30,https://doi.org/10.1007/978-3-642-31401-8_30,crossref,contact event detection tactile robot,0.800
Tactile sensor based varying contact point manipulation strategy for dexterous robot hand manipulating unknown objects,2012,2012 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2012.6385465,https://doi.org/10.1109/iros.2012.6385465,crossref,tactile contact detection robot manipulation,0.800
Slip Detection of Robot Gripper with Flexible Tactile Sensor,2014,Journal of the Korean Society for Precision Engineering,10.7736/kspe.2014.31.2.157,https://doi.org/10.7736/kspe.2014.31.2.157,crossref,slip detection tactile manipulation robot,0.800
Pre-sliding detection in robot hand grasping based on slip-tactile sensor,2015,2015 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2015.7419732,https://doi.org/10.1109/robio.2015.7419732,crossref,slip detection tactile manipulation robot,0.800
Tactile Sensors for Friction Estimation and Incipient Slip Detection—Toward Dexterous Robotic Manipulation: A Review,2018,IEEE Sensors Journal,10.1109/jsen.2018.2868340,https://doi.org/10.1109/jsen.2018.2868340,crossref,slip detection tactile manipulation robot,0.800
Tactile-Based Slip Detection Towards Robot Grasping,2023,Lecture Notes in Computer Science,10.1007/978-981-99-6495-6_9,https://doi.org/10.1007/978-981-99-6495-6_9,crossref,slip detection tactile manipulation robot,0.800
Design of a 3-D Tactile Sensing Array for Incipient Slip Detection in Robotic Dexterous Manipulation,2024,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2024.3436064,https://doi.org/10.1109/tim.2024.3436064,crossref,slip detection tactile manipulation robot,0.800
Visual-Tactile Based Manipulation Control for Complex Robot Manipulation Process via Geometric and Contact State Modeling,2024,2024 International Conference on Advanced Robotics and Mechatronics (ICARM),10.1109/icarm62033.2024.10715919,https://doi.org/10.1109/icarm62033.2024.10715919,crossref,tactile contact detection robot manipulation,0.800
FreeTacMan: Robot-free Visuo-Tactile Data Collection System for Contact-rich Manipulation,2025,arXiv,,,arxiv,tactile contact detection robot manipulation,0.800
Robust Slip Detection Using Magnetic Tactile Sensors During Dynamic Robotic Manipulation via Stray Magnetic Fields Compensation,2025,IEEE Sensors Journal,10.1109/jsen.2025.3598269,https://doi.org/10.1109/jsen.2025.3598269,crossref,slip detection tactile manipulation robot,0.800
ViTaMIn: Learning Contact-Rich Tasks Through Robot-Free Visuo-Tactile Manipulation Interface,2025,arXiv,,,arxiv,tactile contact detection robot manipulation,0.800
Dream-Tac: A Unified Tactile World Action Model for Contact-Rich Robot Manipulation,2026,arXiv,,,arxiv,tactile contact detection robot manipulation,0.800
A Coil-Based Tactile Sensor for Material Discrimination (1) and Contact Force Measurement: An Application of Multifunctional Sensing Technique,2005,IEEJ Transactions on Sensors and Micromachines,10.1541/ieejsmas.125.15,https://doi.org/10.1541/ieejsmas.125.15,crossref,contact-rich manipulation tactile force sensing,0.667
Estimation of Wrist Force/torque for Robot Gripper using Neural Network,2006,2006 IEEE International Conference on Robotics and Biomimetics,10.1109/robio.2006.340142,https://doi.org/10.1109/robio.2006.340142,crossref,force torque tactile residual estimation robot,0.667
Recognition of In-Hand Manipulation along with Rolling Contact using Orbital Motion of Contact Points on Object Surface,2006,2006 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,10.1109/mfi.2006.265662,https://doi.org/10.1109/mfi.2006.265662,crossref,in-hand manipulation tactile sensing contact,0.667
Polymer tactile sensing array with a unit cell of multiple capacitors for three-axis contact force image construction,2007,2007 IEEE 20th International Conference on Micro Electro Mechanical Systems (MEMS),10.1109/memsys.2007.4433122,https://doi.org/10.1109/memsys.2007.4433122,crossref,contact-rich manipulation tactile force sensing,0.667
Robot assisted stroke rehabilitation: Estimation of muscle force/joint torque from EMG using GA,2010,2010 IEEE EMBS Conference on Biomedical Engineering and Sciences (IECBES),10.1109/iecbes.2010.5742257,https://doi.org/10.1109/iecbes.2010.5742257,crossref,force torque tactile residual estimation robot,0.667
External force estimation using joint torque sensors for a robot manipulator,2012,2012 IEEE International Conference on Robotics and Automation,10.1109/icra.2012.6224977,https://doi.org/10.1109/icra.2012.6224977,crossref,force torque tactile residual estimation robot,0.667
What can be inferred from a tactile arrayed sensor in autonomous in-hand manipulation?,2012,2012 IEEE International Conference on Automation Science and Engineering (CASE),10.1109/coase.2012.6386384,https://doi.org/10.1109/coase.2012.6386384,crossref,in-hand manipulation tactile sensing contact,0.667
2A1-A09 Whole-body Tactile Sensing by a Force Sensor Using Soft Material at Contact Areas : Haptic Armor Using Soft Material(Tactile and Force Sensing (1)),2013,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2013._2a1-a09_1,https://doi.org/10.1299/jsmermd.2013._2a1-a09_1,crossref,contact-rich manipulation tactile force sensing,0.667
Assessment of Hand Function Through the Coordination of Contact Forces in Manipulation Tasks,2013,Journal of Human Kinetics,10.2478/hukin-2013-0001,https://doi.org/10.2478/hukin-2013-0001,crossref,in-hand manipulation tactile sensing contact,0.667
